#       # k              E            BS weight       TS weight
      0.0862858     -2.9873475       0.0005572       0.0005866
      0.1294287     -2.9732651       0.0005563       0.0005860
      0.1725717     -2.9536066       0.0005550       0.0005850
      0.2157146     -2.9284284       0.0005533       0.0005838
      0.2588575     -2.8978029       0.0005513       0.0005823
      0.3020004     -2.8618185       0.0005488       0.0005806
      0.3451433     -2.8205787       0.0005458       0.0005785
      0.3882862     -2.7742025       0.0005425       0.0005761
      0.4314292     -2.7228237       0.0005386       0.0005734
      0.4745721     -2.6665908       0.0005343       0.0005704
      0.5177150     -2.6056665       0.0005294       0.0005671
      0.5608579     -2.5402274       0.0005240       0.0005634
      0.6040008     -2.4704635       0.0005179       0.0005593
      0.6471437     -2.3965778       0.0005112       0.0005549
      0.6902867     -2.3187863       0.0005038       0.0005501
      0.7334296     -2.2373166       0.0004956       0.0005449
      0.7765725     -2.1524085       0.0004866       0.0005393
      0.8197154     -2.0643132       0.0004767       0.0005334
      0.8628583     -1.9732930       0.0004659       0.0005270
      0.9060012     -1.8796208       0.0004540       0.0005204
      0.9491442     -1.7835809       0.0004411       0.0005136
      0.9922871     -1.6854683       0.0004271       0.0005066
      1.0354300     -1.5855896       0.0004120       0.0004996
      1.0785729     -1.4842638       0.0003959       0.0004931
      1.1217158     -1.3818246       0.0003791       0.0004874
      1.1648587     -1.2786225       0.0003622       0.0004832
      1.2080017     -1.1750304       0.0003461       0.0004818
      1.2511446     -1.0714513       0.0003331       0.0004850
      1.2942875     -1.0714513       0.0003331       0.0004850
      1.3374304     -1.1750304       0.0003461       0.0004818
      1.3805733     -1.2786225       0.0003622       0.0004832
      1.4237162     -1.3818246       0.0003791       0.0004874
      1.4668592     -1.4842638       0.0003959       0.0004931
      1.5100021     -1.5855896       0.0004120       0.0004996
      1.5531450     -1.6854683       0.0004271       0.0005066
      1.5962879     -1.7835809       0.0004411       0.0005136
      1.6394308     -1.8796208       0.0004540       0.0005204
      1.6825737     -1.9732930       0.0004659       0.0005270
      1.7257167     -2.0643132       0.0004767       0.0005334
      1.7688596     -2.1524085       0.0004866       0.0005393
      1.8120025     -2.2373166       0.0004956       0.0005449
      1.8551454     -2.3187863       0.0005038       0.0005501
      1.8982883     -2.3965778       0.0005112       0.0005549
      1.9414312     -2.4704635       0.0005179       0.0005593
      1.9845741     -2.5402274       0.0005240       0.0005634
      2.0277171     -2.6056665       0.0005294       0.0005671
      2.0708600     -2.6665908       0.0005343       0.0005704
      2.1140029     -2.7228237       0.0005386       0.0005734
      2.1571458     -2.7742025       0.0005425       0.0005761
      2.2002887     -2.8205787       0.0005458       0.0005785
      2.2434316     -2.8618185       0.0005488       0.0005806
      2.2865746     -2.8978029       0.0005513       0.0005823
      2.3297175     -2.9284284       0.0005533       0.0005838
      2.3728604     -2.9536066       0.0005550       0.0005850
      2.4160033     -2.9732651       0.0005563       0.0005860
      2.4591462     -2.9873475       0.0005572       0.0005866
      2.5022891     -2.9958131       0.0005578       0.0005870
      2.5454321     -2.9986377       0.0005580       0.0005872
 
      0.0000000     -2.9924063       0.0009871       0.0010386
      0.0431429     -2.9895846       0.0009868       0.0010384
      0.0862858     -2.9811277       0.0009858       0.0010377
      0.1294287     -2.9670600       0.0009842       0.0010365
      0.1725717     -2.9474221       0.0009819       0.0010348
      0.2157146     -2.9222707       0.0009789       0.0010327
      0.2588575     -2.8916786       0.0009752       0.0010300
      0.3020004     -2.8557342       0.0009708       0.0010269
      0.3451433     -2.8145416       0.0009656       0.0010232
      0.3882862     -2.7682202       0.0009596       0.0010190
      0.4314292     -2.7169043       0.0009528       0.0010142
      0.4745721     -2.6607432       0.0009451       0.0010089
      0.5177150     -2.5999002       0.0009365       0.0010029
      0.5608579     -2.5345528       0.0009268       0.0009964
      0.6040008     -2.4648923       0.0009161       0.0009892
      0.6471437     -2.3911229       0.0009042       0.0009814
      0.6902867     -2.3134619       0.0008910       0.0009728
      0.7334296     -2.2321391       0.0008765       0.0009636
      0.7765725     -2.1473963       0.0008605       0.0009537
      0.8197154     -2.0594873       0.0008430       0.0009431
      0.8628583     -1.9686775       0.0008237       0.0009319
      0.9060012     -1.8752441       0.0008027       0.0009202
      0.9491442     -1.7794760       0.0007798       0.0009080
      0.9922871     -1.6816743       0.0007549       0.0008955
      1.0354300     -1.5821533       0.0007281       0.0008832
      1.0785729     -1.4812419       0.0006995       0.0008715
      1.1217158     -1.3792863       0.0006698       0.0008613
      1.1648587     -1.2766538       0.0006397       0.0008538
      1.2080017     -1.1737399       0.0006113       0.0008513
      1.2511446     -1.0709779       0.0005883       0.0008568
      1.2942875     -1.0709779       0.0005883       0.0008568
      1.3374304     -1.1737399       0.0006113       0.0008513
      1.3805733     -1.2766538       0.0006397       0.0008538
      1.4237162     -1.3792863       0.0006698       0.0008613
      1.4668592     -1.4812419       0.0006995       0.0008715
      1.5100021     -1.5821533       0.0007281       0.0008832
      1.5531450     -1.6816743       0.0007549       0.0008955
      1.5962879     -1.7794760       0.0007798       0.0009080
      1.6394308     -1.8752441       0.0008027       0.0009202
      1.6825737     -1.9686775       0.0008237       0.0009319
      1.7257167     -2.0594873       0.0008430       0.0009431
      1.7688596     -2.1473963       0.0008605       0.0009537
      1.8120025     -2.2321391       0.0008765       0.0009636
      1.8551454     -2.3134619       0.0008910       0.0009728
      1.8982883     -2.3911229       0.0009042       0.0009814
      1.9414312     -2.4648923       0.0009161       0.0009892
      1.9845741     -2.5345528       0.0009268       0.0009964
      2.0277171     -2.5999002       0.0009365       0.0010029
      2.0708600     -2.6607432       0.0009451       0.0010089
      2.1140029     -2.7169043       0.0009528       0.0010142
      2.1571458     -2.7682202       0.0009596       0.0010190
      2.2002887     -2.8145416       0.0009656       0.0010232
      2.2434316     -2.8557342       0.0009708       0.0010269
      2.2865746     -2.8916786       0.0009752       0.0010300
      2.3297175     -2.9222707       0.0009789       0.0010327
      2.3728604     -2.9474221       0.0009819       0.0010348
      2.4160033     -2.9670600       0.0009842       0.0010365
      2.4591462     -2.9811277       0.0009858       0.0010377
      2.5022891     -2.9895846       0.0009868       0.0010384
      2.5454321     -2.9924063       0.0009871       0.0010386
 
      0.0000000     -2.9844044       0.0015326       0.0016123
      0.0431429     -2.9815864       0.0015321       0.0016119
      0.0862858     -2.9731406       0.0015306       0.0016108
      0.1294287     -2.9590916       0.0015280       0.0016090
      0.1725717     -2.9394801       0.0015244       0.0016064
      0.2157146     -2.9143631       0.0015198       0.0016031
      0.2588575     -2.8838137       0.0015141       0.0015990
      0.3020004     -2.8479206       0.0015072       0.0015941
      0.3451433     -2.8067885       0.0014992       0.0015883
      0.3882862     -2.7605373       0.0014899       0.0015818
      0.4314292     -2.7093022       0.0014793       0.0015744
      0.4745721     -2.6532330       0.0014673       0.0015661
      0.5177150     -2.5924942       0.0014539       0.0015568
      0.5608579     -2.5272646       0.0014388       0.0015466
      0.6040008     -2.4577367       0.0014221       0.0015354
      0.6471437     -2.3841164       0.0014036       0.0015232
      0.6902867     -2.3066231       0.0013831       0.0015099
      0.7334296     -2.2254887       0.0013605       0.0014955
      0.7765725     -2.1409580       0.0013356       0.0014801
      0.8197154     -2.0532882       0.0013082       0.0014636
      0.8628583     -1.9627489       0.0012782       0.0014461
      0.9060012     -1.8696222       0.0012454       0.0014277
      0.9491442     -1.7742034       0.0012096       0.0014086
      0.9922871     -1.6768014       0.0011708       0.0013892
      1.0354300     -1.5777403       0.0011290       0.0013699
      1.0785729     -1.4773616       0.0010845       0.0013516
      1.1217158     -1.3760277       0.0010381       0.0013355
      1.1648587     -1.2741275       0.0009913       0.0013238
      1.2080017     -1.1720846       0.0009472       0.0013196
      1.2511446     -1.0703712       0.0009116       0.0013279
      1.2942875     -1.0703712       0.0009116       0.0013279
      1.3374304     -1.1720846       0.0009472       0.0013196
      1.3805733     -1.2741275       0.0009913       0.0013238
      1.4237162     -1.3760277       0.0010381       0.0013355
      1.4668592     -1.4773616       0.0010845       0.0013516
      1.5100021     -1.5777403       0.0011290       0.0013699
      1.5531450     -1.6768014       0.0011708       0.0013892
      1.5962879     -1.7742034       0.0012096       0.0014086
      1.6394308     -1.8696222       0.0012454       0.0014277
      1.6825737     -1.9627489       0.0012782       0.0014461
      1.7257167     -2.0532882       0.0013082       0.0014636
      1.7688596     -2.1409580       0.0013356       0.0014801
      1.8120025     -2.2254887       0.0013605       0.0014955
      1.8551454     -2.3066231       0.0013831       0.0015099
      1.8982883     -2.3841164       0.0014036       0.0015232
      1.9414312     -2.4577367       0.0014221       0.0015354
      1.9845741     -2.5272646       0.0014388       0.0015466
      2.0277171     -2.5924942       0.0014539       0.0015568
      2.0708600     -2.6532330       0.0014673       0.0015661
      2.1140029     -2.7093022       0.0014793       0.0015744
      2.1571458     -2.7605373       0.0014899       0.0015818
      2.2002887     -2.8067885       0.0014992       0.0015883
      2.2434316     -2.8479206       0.0015072       0.0015941
      2.2865746     -2.8838137       0.0015141       0.0015990
      2.3297175     -2.9143631       0.0015198       0.0016031
      2.3728604     -2.9394801       0.0015244       0.0016064
      2.4160033     -2.9590916       0.0015280       0.0016090
      2.4591462     -2.9731406       0.0015306       0.0016108
      2.5022891     -2.9815864       0.0015321       0.0016119
      2.5454321     -2.9844044       0.0015326       0.0016123
 
      0.0000000     -2.9746392       0.0021899       0.0023033
      0.0431429     -2.9718257       0.0021891       0.0023027
      0.0862858     -2.9633935       0.0021870       0.0023012
      0.1294287     -2.9493673       0.0021833       0.0022985
      0.1725717     -2.9297880       0.0021782       0.0022949
      0.2157146     -2.9047129       0.0021716       0.0022901
      0.2588575     -2.8742153       0.0021634       0.0022842
      0.3020004     -2.8383848       0.0021536       0.0022772
      0.3451433     -2.7973263       0.0021421       0.0022690
      0.3882862     -2.7511606       0.0021288       0.0022596
      0.4314292     -2.7000236       0.0021136       0.0022490
      0.4745721     -2.6440664       0.0020964       0.0022371
      0.5177150     -2.5834547       0.0020772       0.0022238
      0.5608579     -2.5183685       0.0020556       0.0022092
      0.6040008     -2.4490021       0.0020317       0.0021931
      0.6471437     -2.3755636       0.0020051       0.0021756
      0.6902867     -2.2982746       0.0019757       0.0021565
      0.7334296     -2.2173701       0.0019433       0.0021359
      0.7765725     -2.1330982       0.0019075       0.0021137
      0.8197154     -2.0457203       0.0018683       0.0020900
      0.8628583     -1.9555112       0.0018252       0.0020648
      0.9060012     -1.8627591       0.0017780       0.0020383
      0.9491442     -1.7677669       0.0017266       0.0020109
      0.9922871     -1.6708532       0.0016708       0.0019828
      1.0354300     -1.5723541       0.0016107       0.0019550
      1.0785729     -1.4726265       0.0015468       0.0019285
      1.1217158     -1.3720525       0.0014802       0.0019053
      1.1648587     -1.2710468       0.0014132       0.0018882
      1.2080017     -1.1700674       0.0013501       0.0018817
      1.2511446     -1.0696325       0.0012993       0.0018932
      1.2942875     -1.0696325       0.0012993       0.0018932
      1.3374304     -1.1700674       0.0013501       0.0018817
      1.3805733     -1.2710468       0.0014132       0.0018882
      1.4237162     -1.3720525       0.0014802       0.0019053
      1.4668592     -1.4726265       0.0015468       0.0019285
      1.5100021     -1.5723541       0.0016107       0.0019550
      1.5531450     -1.6708532       0.0016708       0.0019828
      1.5962879     -1.7677669       0.0017266       0.0020109
      1.6394308     -1.8627591       0.0017780       0.0020383
      1.6825737     -1.9555112       0.0018252       0.0020648
      1.7257167     -2.0457203       0.0018683       0.0020900
      1.7688596     -2.1330982       0.0019075       0.0021137
      1.8120025     -2.2173701       0.0019433       0.0021359
      1.8551454     -2.2982746       0.0019757       0.0021565
      1.8982883     -2.3755636       0.0020051       0.0021756
      1.9414312     -2.4490021       0.0020317       0.0021931
      1.9845741     -2.5183685       0.0020556       0.0022092
      2.0277171     -2.5834547       0.0020772       0.0022238
      2.0708600     -2.6440664       0.0020964       0.0022371
      2.1140029     -2.7000236       0.0021136       0.0022490
      2.1571458     -2.7511606       0.0021288       0.0022596
      2.2002887     -2.7973263       0.0021421       0.0022690
      2.2434316     -2.8383848       0.0021536       0.0022772
      2.2865746     -2.8742153       0.0021634       0.0022842
      2.3297175     -2.9047129       0.0021716       0.0022901
      2.3728604     -2.9297880       0.0021782       0.0022949
      2.4160033     -2.9493673       0.0021833       0.0022985
      2.4591462     -2.9633935       0.0021870       0.0023012
      2.5022891     -2.9718257       0.0021891       0.0023027
      2.5454321     -2.9746392       0.0021899       0.0023033
 
      0.0000000     -2.9631198       0.0029534       0.0031056
      0.0431429     -2.9603116       0.0029524       0.0031049
      0.0862858     -2.9518954       0.0029495       0.0031028
      0.1294287     -2.9378960       0.0029446       0.0030992
      0.1725717     -2.9183545       0.0029377       0.0030942
      0.2157146     -2.8933285       0.0029288       0.0030878
      0.2588575     -2.8628920       0.0029177       0.0030798
      0.3020004     -2.8271349       0.0029044       0.0030703
      0.3451433     -2.7861630       0.0028889       0.0030593
      0.3882862     -2.7400979       0.0028709       0.0030466
      0.4314292     -2.6890765       0.0028504       0.0030322
      0.4745721     -2.6332511       0.0028272       0.0030161
      0.5177150     -2.5727888       0.0028011       0.0029981
      0.5608579     -2.5078714       0.0027720       0.0029783
      0.6040008     -2.4386953       0.0027395       0.0029566
      0.6471437     -2.3654710       0.0027035       0.0029328
      0.6902867     -2.2884228       0.0026637       0.0029069
      0.7334296     -2.2077892       0.0026198       0.0028789
      0.7765725     -2.1238225       0.0025713       0.0028488
      0.8197154     -2.0367890       0.0025180       0.0028166
      0.8628583     -1.9469694       0.0024596       0.0027824
      0.9060012     -1.8546595       0.0023956       0.0027464
