# Berry curvature in unit of (Angstrom^2)  
#                                      Sum over 1-NumOccupied bands       values at NumOccupied'th band               Sum below Fermi level               values at Fermi level
# kx (1/A)    ky (1/A)    kz (1/A)   kx' (1/A)   ky' (1/A)   kz' (1/A)     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z
#col     1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18
   -1.731146   -0.453001    0.000000   -1.731146   -0.453001    0.000000  0.0000E+00  0.0000E+00  0.2983E+00  0.0000E+00  0.0000E+00  0.2983E+00  0.0000E+00  0.0000E+00  0.2983E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.706237   -0.409858    0.000000   -1.706237   -0.409858    0.000000  0.0000E+00  0.0000E+00  0.2812E+00  0.0000E+00  0.0000E+00  0.2812E+00  0.0000E+00  0.0000E+00  0.2812E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.681329   -0.366715    0.000000   -1.681329   -0.366715    0.000000  0.0000E+00  0.0000E+00  0.2609E+00  0.0000E+00  0.0000E+00  0.2609E+00  0.0000E+00  0.0000E+00  0.2609E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.656420   -0.323572    0.000000   -1.656420   -0.323572    0.000000  0.0000E+00  0.0000E+00  0.2376E+00  0.0000E+00  0.0000E+00  0.2376E+00  0.0000E+00  0.0000E+00  0.2376E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.631512   -0.280429    0.000000   -1.631512   -0.280429    0.000000  0.0000E+00  0.0000E+00  0.2117E+00  0.0000E+00  0.0000E+00  0.2117E+00  0.0000E+00  0.0000E+00  0.2117E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606603   -0.237286    0.000000   -1.606603   -0.237286    0.000000  0.0000E+00  0.0000E+00  0.1834E+00  0.0000E+00  0.0000E+00  0.1834E+00  0.0000E+00  0.0000E+00  0.1834E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.581694   -0.194143    0.000000   -1.581694   -0.194143    0.000000  0.0000E+00  0.0000E+00  0.1529E+00  0.0000E+00  0.0000E+00  0.1529E+00  0.0000E+00  0.0000E+00  0.1529E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.556786   -0.151000    0.000000   -1.556786   -0.151000    0.000000  0.0000E+00  0.0000E+00  0.1208E+00  0.0000E+00  0.0000E+00  0.1208E+00  0.0000E+00  0.0000E+00  0.1208E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.531877   -0.107857    0.000000   -1.531877   -0.107857    0.000000  0.0000E+00  0.0000E+00  0.8727E-01  0.0000E+00  0.0000E+00  0.8727E-01  0.0000E+00  0.0000E+00  0.8727E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.506969   -0.064714    0.000000   -1.506969   -0.064714    0.000000  0.0000E+00  0.0000E+00  0.5276E-01  0.0000E+00  0.0000E+00  0.5276E-01  0.0000E+00  0.0000E+00  0.5276E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.482060   -0.021571    0.000000   -1.482060   -0.021571    0.000000  0.0000E+00  0.0000E+00  0.1765E-01  0.0000E+00  0.0000E+00  0.1765E-01  0.0000E+00  0.0000E+00  0.1765E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.457152    0.021571    0.000000   -1.457152    0.021571    0.000000  0.0000E+00  0.0000E+00 -0.1765E-01  0.0000E+00  0.0000E+00 -0.1765E-01  0.0000E+00  0.0000E+00 -0.1765E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.432243    0.064714    0.000000   -1.432243    0.064714    0.000000  0.0000E+00  0.0000E+00 -0.5276E-01  0.0000E+00  0.0000E+00 -0.5276E-01  0.0000E+00  0.0000E+00 -0.5276E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.407334    0.107857    0.000000   -1.407334    0.107857    0.000000  0.0000E+00  0.0000E+00 -0.8727E-01  0.0000E+00  0.0000E+00 -0.8727E-01  0.0000E+00  0.0000E+00 -0.8727E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.382426    0.151000    0.000000   -1.382426    0.151000    0.000000  0.0000E+00  0.0000E+00 -0.1208E+00  0.0000E+00  0.0000E+00 -0.1208E+00  0.0000E+00  0.0000E+00 -0.1208E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.357517    0.194143    0.000000   -1.357517    0.194143    0.000000  0.0000E+00  0.0000E+00 -0.1529E+00  0.0000E+00  0.0000E+00 -0.1529E+00  0.0000E+00  0.0000E+00 -0.1529E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.332609    0.237286    0.000000   -1.332609    0.237286    0.000000  0.0000E+00  0.0000E+00 -0.1834E+00  0.0000E+00  0.0000E+00 -0.1834E+00  0.0000E+00  0.0000E+00 -0.1834E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.307700    0.280429    0.000000   -1.307700    0.280429    0.000000  0.0000E+00  0.0000E+00 -0.2117E+00  0.0000E+00  0.0000E+00 -0.2117E+00  0.0000E+00  0.0000E+00 -0.2117E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.282792    0.323572    0.000000   -1.282792    0.323572    0.000000  0.0000E+00  0.0000E+00 -0.2376E+00  0.0000E+00  0.0000E+00 -0.2376E+00  0.0000E+00  0.0000E+00 -0.2376E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.257883    0.366715    0.000000   -1.257883    0.366715    0.000000  0.0000E+00  0.0000E+00 -0.2609E+00  0.0000E+00  0.0000E+00 -0.2609E+00  0.0000E+00  0.0000E+00 -0.2609E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.232974    0.409858    0.000000   -1.232974    0.409858    0.000000  0.0000E+00  0.0000E+00 -0.2812E+00  0.0000E+00  0.0000E+00 -0.2812E+00  0.0000E+00  0.0000E+00 -0.2812E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.208066    0.453001    0.000000   -1.208066    0.453001    0.000000  0.0000E+00  0.0000E+00 -0.2983E+00  0.0000E+00  0.0000E+00 -0.2983E+00  0.0000E+00  0.0000E+00 -0.2983E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.183157    0.496144    0.000000   -1.183157    0.496144    0.000000  0.0000E+00  0.0000E+00 -0.3120E+00  0.0000E+00  0.0000E+00 -0.3120E+00  0.0000E+00  0.0000E+00 -0.3120E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.158249    0.539286    0.000000   -1.158249    0.539286    0.000000  0.0000E+00  0.0000E+00 -0.3222E+00  0.0000E+00  0.0000E+00 -0.3222E+00  0.0000E+00  0.0000E+00 -0.3222E+00  0.0000E+00  0.0000E+00  0.0000E+00
